date,currency,mid_rate,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_change,risk_label_7d
2022-07-26,USD,1027.97,0.00028218900825160986,0.0014515626217754818,0.00260411586852638,1027.36,1026.6664285714285,1025.622,0.001694581434485443,0.0001423946684915908,0.00013019507594281846,0.00014116253354845413,0.0014515626217754818,0.00260411586852638,20.360000000000127,0.019806025467669415,5.0,10.0,0.001274356255532627,Low
2022-07-27,USD,1028.28,0.0003015652207749575,0.001480384900073961,0.0027402069295054954,1027.5771428571427,1026.8671428571429,1025.7613333333334,0.0017702066404751602,0.00014499475911512394,0.00013360315245216576,0.00014262911793666856,0.001480384900073961,0.0027402069295054954,20.360000000000014,0.019800054459874757,5.0,10.0,0.0012545221145991992,Low
2022-07-28,USD,1028.58,0.000291749328976465,0.001479952485736069,0.002788285302031568,1027.7942857142857,1027.0714285714287,1025.9173333333333,0.0018295356945124777,0.00014495472054055936,0.00013553772256316504,0.00013087801044895723,0.001479952485736069,0.002788285302031568,20.360000000000014,0.019794279492115357,5.0,10.0,0.001273600497773808,Low
2022-07-29,USD,1028.82,0.0002333313889051336,0.0014308658198276536,0.0027974072810563744,1028.0042857142857,1027.2764285714286,1026.0713333333333,0.0018838382071088258,0.00014210528486355753,0.00013569019095921342,0.00012910329510257778,0.0014308658198276536,0.0027974072810563744,20.370000000000005,0.019799381816061123,5.0,10.0,0.0010400264380554525,Low
2022-07-30,USD,1028.82,0.0,0.0014308658198276536,0.0027974072810563744,1028.2142857142858,1027.4814285714285,1026.216,0.0019472369503943467,0.00014210528486355753,0.00013569019095921342,0.0001297438382921394,0.0014308658198276536,0.0027974072810563744,20.370000000000005,0.019799381816061123,5.0,10.0,0.0010400264380554525,Low
2022-07-31,USD,1028.82,0.0,0.0014308658198276536,0.0027974072810563744,1028.4242857142856,1027.6864285714287,1026.3606666666667,0.0020106178214340043,0.00014210528486355753,0.00013569019095921342,0.0001297438382921394,0.0014308658198276536,0.0027974072810563744,20.370000000000005,0.019799381816061123,5.0,10.0,0.0010400264380554525,Low
2022-08-01,USD,1029.07,0.00024299683132134042,0.0013525611085161149,0.002708786015648501,1028.622857142857,1027.885,1026.5136666666665,0.002054712513511338,0.00013423655833694174,0.00013106112118534778,0.0001282183936168712,0.0013525611085161149,0.002708786015648501,20.379999999999995,0.019804289309765126,5.0,10.0,0.0010883613359635724,Low
2022-08-02,USD,1029.28,0.0002040677504933086,0.001274356255532627,0.0027277686852154037,1028.81,1028.0849999999998,1026.6736666666666,0.002080829968367133,0.00012873179857657424,0.00013106861450860324,0.0001254220480724019,0.001274356255532627,0.0027277686852154037,20.379999999999995,0.01980024871755013,5.0,10.0,0.0011075703404321846,Low
2022-08-03,USD,1029.57,0.00028175034975896907,0.0012545221145991992,0.0027367641902684703,1028.9942857142855,1028.2857142857142,1026.8433333333332,0.0020947230323537925,0.00012584899504054005,0.00013150154445685223,0.00012389036229618059,0.0012545221145991992,0.0027367641902684703,20.379999999999995,0.019794671561914196,5.0,10.0,0.0011363967481570203,Low
2022-08-04,USD,1029.89,0.00031080936701743944,0.001273600497773808,0.0027554378517322675,1029.1814285714286,1028.4878571428571,1027.019,0.0021055390128406227,0.00012886190285217925,0.00013264710277022859,0.00012655704903313277,0.001273600497773808,0.0027554378517322675,20.389999999999873,0.01979823087902579,5.0,10.0,0.001106914330656572,Low
