date,currency,mid_rate,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_date,future_7d_change,risk_label_7d
2022-02-16,USD,1014.34,0.00011831752479740665,0.000957202206499197,0.0023419666590906996,1013.9399999999999,1013.3578571428571,1012.1123333333333,0.0018057942843630048,5.848048610915687e-05,7.033381061648586e-05,6.138261404457462e-05,0.000957202206499197,0.0023419666590906996,20.080000000000155,0.019796123587751794,7.0,14.0,2022-02-23,0.0006506694007926139,Low
2022-02-17,USD,1014.48,0.0001380207819863255,0.0009570699845093955,0.0022129139334545744,1014.0785714285714,1013.5178571428571,1012.2643333333333,0.001792257254845664,5.847995608188378e-05,6.446798329318134e-05,6.06995970364093e-05,0.0009570699845093955,0.0022129139334545744,20.079999999999927,0.01979339168835258,7.0,14.0,2022-02-24,0.0006998659411718844,Low
2022-02-18,USD,1014.54,5.9143600662281415e-05,0.0008483939704837518,0.0021632834493998665,1014.2014285714286,1013.6742857142857,1012.4123333333333,0.0017671606510409887,6.308749434299923e-05,6.860370511843461e-05,6.266414914156102e-05,0.0008483939704837518,0.0021632834493998665,20.079999999999927,0.01979222110513132,7.0,14.0,2022-02-25,0.0007983913892011252,Low
2022-02-21,USD,1014.73,0.00018727699252862884,0.0008877227937622578,0.002222266118836913,1014.33,1013.835,1012.5633333333333,0.0017447468306510672,6.746871191853839e-05,6.869445218593156e-05,6.244300670902236e-05,0.0008877227937622578,0.002222266118836913,20.089999999999918,0.01979837000975621,7.0,14.0,2022-02-28,0.0007489677056951027,Low
2022-02-22,USD,1014.83,9.854838232836727e-05,0.0009369945161163962,0.002034025494436209,1014.4657142857143,1013.9821428571429,1012.7133333333334,0.001730382028854116,6.02265729385362e-05,5.953738936145386e-05,6.302340125535708e-05,0.0009369945161163962,0.002034025494436209,20.100000000000136,0.019806272971827927,7.0,14.0,2022-03-01,0.0008080171063133967,Low
2022-02-23,USD,1015.0,0.00016751574155282611,0.0008677474066185464,0.0019842249183110727,1014.5914285714287,1014.1257142857143,1012.8623333333333,0.0017071374669497263,4.40176714723619e-05,5.6302813807919474e-05,6.243620050890977e-05,0.0008677474066185464,0.0019842249183110727,20.09999999999991,0.01980295566502454,7.0,14.0,2022-03-02,0.000591133004926192,Low
2022-02-24,USD,1015.19,0.00018719211822659787,0.0009563999921122779,0.0019344077850045327,1014.7299999999999,1014.2657142857144,1013.0120000000001,0.0016959325259719993,4.807491570310125e-05,5.116028038951052e-05,6.275231687147182e-05,0.0009563999921122779,0.0019344077850045327,20.100000000000023,0.01979924940158987,7.0,14.0,2022-03-03,0.0005516208788503008,Low
2022-02-25,USD,1015.35,0.00015760596538583194,0.0009957213557583167,0.0019538766689364273,1014.8742857142857,1014.407142857143,1013.1613333333333,0.0016907005079997983,4.788136420578284e-05,5.142682504903617e-05,6.266310908227358e-05,0.0009957213557583167,0.0019538766689364273,20.100000000000136,0.019796129413502866,7.0,14.0,2022-03-04,0.00041365046535668526,Low
2022-02-28,USD,1015.49,0.00013788348845222842,0.0009955839444839576,0.0019536067725034467,1015.0185714285715,1014.5485714285714,1013.307,0.001689094646115663,4.7883382926740896e-05,5.142739307180887e-05,5.976546018404384e-05,0.0009955839444839576,0.0019536067725034467,20.1099999999999,0.01980324769323174,7.0,14.0,2022-03-07,0.0004529832888555685,Low
2022-03-01,USD,1015.65,0.00015755940481931852,0.001094091903719896,0.0019434140951779533,1015.1771428571429,1014.6892857142857,1013.4546666666666,0.0016996085243177195,3.0868971644674885e-05,5.1067094823969766e-05,5.920390986269885e-05,0.001094091903719896,0.0019434140951779533,20.110000000000014,0.019800127996849323,7.0,14.0,2022-03-08,0.000472603751292322,Low
2022-03-02,USD,1015.6,-4.922955742625579e-05,0.0008573709262562623,0.0017458548277324848,1015.3014285714286,1014.8157142857143,1013.598,0.0016805760976528195,8.059613791654857e-05,7.144242770533321e-05,6.814490016948339e-05,0.0008573709262562623,0.0017458548277324848,20.110000000000127,0.01980110279637665,6.0,13.0,2022-03-09,0.000768018905080714,Low
2022-03-03,USD,1015.75,0.00014769594328467583,0.0009065557778149547,0.0018443997317236782,1015.4328571428571,1014.9492857142858,1013.7436666666666,0.0016662895480716866,8.030823076929601e-05,6.823373327841227e-05,6.712428309527398e-05,0.0009065557778149547,0.0018443997317236782,20.1099999999999,0.01979817868570012,6.0,13.0,2022-03-10,0.0008072852571991973,Low
2022-03-04,USD,1015.77,1.96898843218829e-05,0.000758620689655265,0.0016270263874098578,1015.5428571428572,1015.0671428571428,1013.8856666666667,0.0016344944313482213,8.77269039705001e-05,6.716830415843278e-05,7.081413010973085e-05,0.000758620689655265,0.0016270263874098578,20.1099999999999,0.019797788869527454,6.0,13.0,2022-03-11,0.0009647853352630076,Low
2022-03-07,USD,1015.95,0.0001772054697422032,0.0007486283355824241,0.0017057443158290386,1015.6514285714286,1015.1907142857143,1014.029,0.001599982418085233,8.630049833233721e-05,6.885457773227583e-05,7.11356730355439e-05,0.0007486283355824241,0.0017057443158290386,20.120000000000005,0.019804124218711555,6.0,13.0,2022-03-14,0.0007480683104483798,Low
